timestamp ba_x ba_y ba_z bg_x bg_y bg_z
2776.736000 -0.72656692 -0.40905777 0.04477737 -0.00007757 0.00216403 -0.00851813
2776.800000 -0.72656678 -0.40905868 0.04477710 -0.00209934 -0.00263507 0.00574113
2776.872000 -0.72656679 -0.40905848 0.04477715 -0.00067215 -0.00051225 -0.00109788
2777.040000 -0.72656712 -0.40905886 0.04477697 -0.00055766 -0.00014497 -0.00005010
2777.104000 -0.72656721 -0.40905889 0.04477694 -0.00049359 -0.00243906 -0.00041059
2777.168000 -0.72656717 -0.40905890 0.04477694 -0.00107836 -0.00036818 0.00076748
2777.236000 -0.72656721 -0.40905898 0.04477695 0.00096516 -0.00073367 0.00355961
2777.300000 -0.72656721 -0.40905909 0.04477695 0.00409138 0.00046670 0.00060404
2777.364000 -0.72656711 -0.40905914 0.04477697 0.00051070 -0.00129796 0.00188507
2777.440000 -0.72656726 -0.40905905 0.04477711 0.00153915 0.00424747 0.00109478
2777.504000 -0.72656723 -0.40905902 0.04477710 0.00111331 0.00092602 0.00169162
2777.568000 -0.72656717 -0.40905907 0.04477703 -0.00201088 -0.00219516 0.00305004
2777.632000 -0.72656697 -0.40905917 0.04477694 -0.00005654 0.00070156 0.00080903
2777.772000 -0.72656689 -0.40905920 0.04477700 0.00035757 -0.00011943 0.00105322
2777.840000 -0.72656683 -0.40905918 0.04477701 -0.00003777 0.00003761 0.00155590
2777.904000 -0.72656683 -0.40905917 0.04477700 0.00039201 -0.00224593 0.00081261
2777.968000 -0.72656675 -0.40905915 0.04477697 -0.00214749 -0.00180767 0.00193960
2778.036000 -0.72656671 -0.40905920 0.04477697 0.00181373 0.00030409 0.00153931
2778.172000 -0.72656673 -0.40905914 0.04477697 0.00078979 -0.00092951 -0.00000639
2778.244000 -0.72656670 -0.40905910 0.04477697 0.00411800 -0.00001881 0.00196876
2778.300000 -0.72656660 -0.40905897 0.04477691 -0.00057297 -0.00061904 0.00101124
2778.372000 -0.72656656 -0.40905908 0.04477688 0.00448078 0.00169347 0.00387852
2778.440000 -0.72656657 -0.40905903 0.04477688 -0.00100063 0.00128505 0.00044522
2778.504000 -0.72656632 -0.40905896 0.04477680 0.00230112 -0.00066865 0.00139658
2778.568000 -0.72656630 -0.40905890 0.04477674 -0.00056159 0.00068021 -0.00089776
2778.636000 -0.72656628 -0.40905888 0.04477673 -0.00107612 0.00049972 0.00048145
2778.700000 -0.72656641 -0.40905883 0.04477667 0.00071004 -0.00139285 0.00091008
2778.804000 -0.72656631 -0.40905889 0.04477662 -0.00011626 -0.00044177 0.00014602
2778.876000 -0.72656634 -0.40905891 0.04477671 -0.00002368 0.00154925 0.00023205
2778.940000 -0.72656631 -0.40905892 0.04477676 0.00109272 -0.00034522 0.00002093
2779.040000 -0.72656635 -0.40905888 0.04477678 0.00005652 0.00012620 -0.00054105
2779.208000 -0.72656627 -0.40905883 0.04477677 0.00007809 0.00057869 -0.00068697
2779.340000 -0.72656655 -0.40905879 0.04477690 0.00269284 0.00236652 -0.00001738
2779.404000 -0.72656654 -0.40905879 0.04477690 -0.00260465 -0.00180517 -0.00313382
2779.468000 -0.72656653 -0.40905899 0.04477701 0.00000849 0.00082102 0.00039700
2779.536000 -0.72656654 -0.40905896 0.04477701 -0.00034946 0.00014198 -0.00034920
2779.600000 -0.72656654 -0.40905895 0.04477701 -0.00137654 -0.00054729 -0.00269661
2779.668000 -0.72656665 -0.40905881 0.04477712 -0.00176646 -0.00041400 -0.00062800
2779.736000 -0.72656652 -0.40905893 0.04477701 -0.00122431 0.00117118 -0.00303078
2779.804000 -0.72656655 -0.40905897 0.04477708 -0.00443147 -0.00099844 -0.00295921
2779.868000 -0.72656656 -0.40905899 0.04477710 0.00256718 0.00166453 -0.00022572
2779.936000 -0.72656656 -0.40905882 0.04477710 0.00034023 -0.00013955 -0.00216506
2779.996000 -0.72656657 -0.40905883 0.04477706 -0.00106814 -0.00019501 -0.00342934
2780.068000 -0.72656661 -0.40905886 0.04477713 -0.00138087 -0.00040264 0.00020087
2780.152000 -0.72656669 -0.40905895 0.04477727 -0.00202856 -0.00153608 -0.00031806
2780.200000 -0.72656683 -0.40905883 0.04477722 0.00247369 -0.00120153 -0.00085526
2780.264000 -0.72656681 -0.40905884 0.04477726 -0.00187605 -0.00105198 -0.00061417
2780.340000 -0.72656676 -0.40905879 0.04477730 0.00032927 -0.00075968 -0.00005461
2780.404000 -0.72656667 -0.40905871 0.04477726 0.00127243 -0.00062549 0.00066742
2780.468000 -0.72656667 -0.40905869 0.04477724 -0.00095734 -0.00043671 0.00078141
2780.536000 -0.72656666 -0.40905867 0.04477724 -0.00012899 0.00027141 0.00248472
2780.604000 -0.72656680 -0.40905847 0.04477734 0.00043767 0.00072257 0.00062847
2780.668000 -0.72656678 -0.40905850 0.04477740 -0.00022445 -0.00091797 0.00008124
2780.776000 -0.72656677 -0.40905849 0.04477739 0.00071007 0.00147340 0.00146029
2780.836000 -0.72656671 -0.40905851 0.04477720 -0.00222963 -0.00173104 -0.00156808
2780.904000 -0.72656666 -0.40905848 0.04477718 0.00306827 0.00012517 0.00080876
2780.976000 -0.72656661 -0.40905855 0.04477719 0.00360119 -0.00095599 0.00077066
2781.040000 -0.72656654 -0.40905857 0.04477719 -0.00554315 -0.00083349 0.00012144
2781.140000 -0.72656653 -0.40905854 0.04477719 0.00039672 -0.00123384 0.00207835
2781.204000 -0.72656654 -0.40905852 0.04477719 0.00052139 -0.00196155 0.00189241
2781.268000 -0.72656686 -0.40905857 0.04477732 0.00077306 -0.00013418 0.00094558
2781.340000 -0.72656686 -0.40905856 0.04477732 0.00173997 -0.00011271 -0.00007695
2781.404000 -0.72656682 -0.40905851 0.04477727 0.00215539 0.00120106 0.00378659
2781.472000 -0.72656688 -0.40905851 0.04477713 0.00053877 -0.00143210 0.00259742
2781.540000 -0.72656692 -0.40905849 0.04477715 0.00134193 0.00066180 0.00150684
2781.596000 -0.72656697 -0.40905853 0.04477717 0.00005598 -0.00030642 0.00128503
2781.668000 -0.72656689 -0.40905855 0.04477717 0.00176306 0.00000646 0.00060304
2781.736000 -0.72656691 -0.40905856 0.04477717 -0.00033038 0.00066205 0.00078647
2781.800000 -0.72656689 -0.40905861 0.04477716 0.00078530 0.00000843 0.00073467
2781.868000 -0.72656688 -0.40905860 0.04477715 -0.00068203 -0.00132460 0.00043915
2781.932000 -0.72656676 -0.40905866 0.04477716 -0.00019482 0.00007473 0.00151257
2782.004000 -0.72656674 -0.40905866 0.04477717 0.00002551 -0.00145278 -0.00152907
2782.100000 -0.72656680 -0.40905849 0.04477718 0.00004594 -0.00041937 -0.00224019
2782.168000 -0.72656678 -0.40905842 0.04477716 0.00174110 0.00133081 0.00009304
2782.232000 -0.72656678 -0.40905836 0.04477715 0.00045248 0.00017968 -0.00052875
2782.300000 -0.72656683 -0.40905837 0.04477716 -0.00160661 -0.00091364 -0.00110834
2782.372000 -0.72656682 -0.40905862 0.04477717 -0.00239255 -0.00189251 -0.00248824
2782.436000 -0.72656677 -0.40905856 0.04477715 -0.00021051 0.00107683 -0.00177824
2782.500000 -0.72656683 -0.40905867 0.04477711 -0.00135476 -0.00022296 -0.00073201
2782.572000 -0.72656678 -0.40905832 0.04477717 -0.00032811 -0.00003760 -0.00251284
2782.636000 -0.72656676 -0.40905826 0.04477717 0.00126041 0.00085589 0.00114576
2782.772000 -0.72656672 -0.40905821 0.04477716 0.00004697 0.00028223 0.00034875
2782.836000 -0.72656681 -0.40905785 0.04477703 0.00216421 -0.00048926 -0.00031309
2782.900000 -0.72656659 -0.40905783 0.04477695 -0.00314180 0.00066648 -0.00302424
2782.972000 -0.72656656 -0.40905782 0.04477694 -0.00264664 -0.00200451 -0.00145576
